,avg_cos_sim_wv,cv_wv
arias,0.6621949918020255,0.28568142652511597
cartes,0.6942428011085838,0.2459014505147934
chavez,0.5415508254358079,0.3500175178050995
colom,0.5400344894876936,0.33361026644706726
correa,0.8538334843955934,0.16630569100379944
fenandez,0.5780167592158774,0.3315516710281372
j_morales,0.5812518731307238,0.3267225921154022
kirchner,0.7507421228641644,0.22230617702007294
lobo,0.6775936953522265,0.25904911756515503
lugo,0.7462309407381806,0.23369437456130981
macri,0.8884115634731948,0.1340252310037613
maduro,0.886986303845048,0.13991765677928925
martinelli,0.8808175334682222,0.15442219376564026
medina,0.5827444722769549,0.32991939783096313
morales,0.6281131855443004,0.2852395474910736
mujica,0.8718561062029563,0.15250101685523987
ortega,0.6295973433764186,0.2917203903198242
perez,0.6123359384247102,0.30234017968177795
pinera,0.9085081171162427,0.12065858393907547
santos,0.7596747636556626,0.21400369703769684
solis,0.6999176814998267,0.2708965241909027
uribe,0.721235173609294,0.2825893759727478
varela,0.8439215240620077,0.16999000310897827
