,President,size,huffman_ratio,avg_cos_sim,cv
0,alan,1k,0.11635117493472585,0.9233934193789959,0.02046844669426926
1,arias,1k,0.10203436477238917,0.18068743769042195,0.315186655002697
2,bachelet,1k,0.10876466346576619,0.9964415790379046,0.0004918110103054815
3,calderon,1k,0.11408000963971562,0.035401873799133954,0.1701572233956093
4,cartes,1k,0.10138202697289357,0.054763624834827995,0.19892929565750583
5,chavez,1k,0.12016375,0.9925027199029923,0.008831649497385624
6,chinchilla,1k,0.10166098000189555,0.18354541689530013,0.3175944153384075
7,colom,1k,0.11761467149413093,0.34645803112797435,0.10843301309977008
8,correa,1k,0.11298801525331396,0.9853567896544932,0.003038574458792316
9,fenandez,1k,0.11427193549877558,0.796563836812973,0.043251678440675664
10,funes,1k,0.10233854393722364,0.05158376192254943,0.21537913596709743
11,hernandez,1k,0.11027946479407857,0.045807668558787595,0.18248232486316504
12,j_morales,1k,0.11838678503570726,0.047104235166776975,0.15619811912393064
13,kirchner,1k,0.11920901672456977,0.9964735631465911,0.0007150213967506172
14,lobo,1k,0.1079616247196611,0.07984837561687463,0.16858340067586838
15,lugo,1k,0.10271202789938413,0.05577984842769812,0.21526643749988428
16,macri,1k,0.11434842233578696,0.7824304831832647,0.06000059261633274
17,maduro,1k,0.11930822184869544,0.9662104063212871,0.041521058462967705
18,martinelli,1k,0.10445301674094604,0.26246391928559176,0.13198883905934494
19,medina,1k,0.1152956820761269,0.9941861552596092,0.000831009679802149
20,morales,1k,0.1130525802557038,0.9965472469210626,0.00042911022757522035
21,mujica,1k,0.09921777624962393,0.5167066167168319,0.13328787013561438
22,ollanta,1k,0.11767770232856352,0.9969673100948333,0.0008608455808277453
23,ortega,1k,0.10556457936596841,0.19378401519991462,0.1405378880595727
24,pena_nieto,1k,0.11730980427817961,0.9842277981698513,0.020233437045719276
25,perez,1k,0.1154317990973024,0.1721990002661944,0.12914962380309525
26,pinera,1k,0.11201521815183167,0.7320338526904584,0.054271323667521465
27,sanchez,1k,0.09162245800176835,0.3178748133532703,0.36934066500204465
28,santos,1k,0.1201257979565645,0.9970045776128769,0.0004190352801276011
29,tabare,1k,0.09198546289211935,0.10222667226772764,0.27687302547631043
30,uribe,1k,0.11941502290706067,0.9934367217004298,0.0011032500030079592
31,varela,1k,0.09521033712231614,0.07010966119747608,0.22874994486868958
32,zelaya,1k,0.11679186978875303,0.40319383852612223,0.10889148320286865
33,alan,3k,0.13157798897641806,0.9137574472274632,0.05392903985909043
34,arias,3k,0.1310916624457158,0.9963086691737175,0.007103798124833267
35,bachelet,3k,0.12411840719859893,0.8498907747164368,0.0768025447462351
36,calderon,3k,0.13362906334193955,0.8950899359121918,0.05995027987791827
37,cartes,3k,0.1249985131673896,0.9039627676501869,0.06198161662170702
38,chavez,3k,0.13036234717315345,0.612747455939278,0.10532658124776612
39,chinchilla,3k,0.12614485337584627,0.9867418372809886,0.02286957613278866
40,colom,3k,0.13432451982494148,0.9164033536478877,0.055307627321877696
41,correa,3k,0.12890718323620468,0.7440762163877488,0.09442733957796381
42,fenandez,3k,0.1318747589981545,0.8546120430035518,0.07202745745185989
43,funes,3k,0.12447139219868295,0.9521237387537955,0.04244414070931225
44,hernandez,3k,0.1299641779283638,0.9142280091017485,0.054940818345523425
45,j_morales,3k,0.13686733685650027,0.9775862455248834,0.024083480369700882
46,kirchner,3k,0.12996797693658804,0.611765228087455,0.10889967601825011
47,lobo,3k,0.12766920282539934,0.8797763464942574,0.06447258387307148
48,lugo,3k,0.12735302725773406,0.9434760295823217,0.04997276500079358
49,macri,3k,0.1289848021665027,0.8333319181919099,0.08134202594635888
50,maduro,3k,0.12794006705837174,0.5457553380606697,0.10926991740654958
51,martinelli,3k,0.1256209024296182,0.94365524263978,0.04436837918744342
52,medina,3k,0.1290548988041463,0.7451720182172954,0.09305927123853887
53,morales,3k,0.12784848976935453,0.6909839118234813,0.10097286139726444
54,mujica,3k,0.12792378401023785,0.9419818333923817,0.05814379337159692
55,ollanta,3k,0.12910327383314926,0.746218871331215,0.0940779700603192
56,ortega,3k,0.1285668089647812,0.8730741390593351,0.06591983726111306
57,pena_nieto,3k,0.12712993593170624,0.6229210402272642,0.10561761335204696
58,perez,3k,0.13368898391760178,0.9324412562251092,0.05100584941287746
59,pinera,3k,0.12729702403315526,0.8596250354640187,0.07075736973290495
60,sanchez,3k,0.12525655796289778,0.97527349434793,0.02713712435300678
61,santos,3k,0.13158097175148123,0.6868846513275058,0.10138468668627793
62,solis,3k,0.12936098574396446,0.9966462477862834,0.0008963056811676025
63,tabare,3k,0.12876332562807224,0.9965998309969901,0.00467936461187832
64,uribe,3k,0.1341982626312395,0.863782824353315,0.0703163449762934
65,varela,3k,0.11957205709316007,0.995566417890787,0.003831185281152132
66,zelaya,3k,0.13053953312323605,0.8910157187253236,0.06160658560442831
